u,v,length,link_flow
4393,4423,612.7977763205269,260
4393,9052,1066.4846532943966,260
4423,4471,662.1959670657886,760
4438,4439,462.0972608008144,0
4438,4474,411.5472060925527,0
4439,4448,283.04994985107373,0
4440,4497,1500.5641761265365,120
4448,4423,392.1221756222692,100
4448,4496,693.016782274206,60
4464,4438,1004.4727876181648,0
4464,4502,673.1003812544795,0
4471,4440,1850.9335523336672,120
4471,4493,407.4714252350142,740
4474,4448,461.9967534175804,40
4474,4582,341.8788127014028,40
4487,4464,447.19013159597,0
4487,4520,665.132312984774,0
4493,4521,385.6683180949226,420
4496,4471,509.1569740232221,160
4496,4539,661.7505155889708,280
4497,4415,1302.6683374368972,0
4501,4487,306.17177494608427,0
4501,4530,649.9008358217516,0
4502,4474,755.2303944064906,20
4502,4534,383.5024098564545,20
4518,4496,523.8137769709413,40
4518,4565,572.4991821996535,160
4520,4502,446.87390898545294,40
4521,4605,658.4437566720777,520
4525,9050,1450.4203537544206,0
4525,9171,4493.376543230135,0
4526,4497,889.0404488916341,60
4526,9001,507.3058395512944,80
4526,9014,2505.174385392017,0
4530,4520,245.5078666420985,20
4530,4607,845.6975557319017,0
4534,4556,415.8811437932901,20
4534,4582,672.382716095679,0
4536,4497,889.4636169091755,40
4536,4562,1242.8937584824166,0
4539,4521,447.5862092665581,280
4539,4616,558.881879459985,680
4554,4526,674.0519479469681,80
4554,4536,1065.7322374830103,20
4556,4518,582.758627172772,0
4556,4608,466.0891216839914,20
4562,4493,1061.732346533605,700
4562,4589,523.4868027880057,500
4563,4554,510.3866173591647,140
4563,4642,545.1331419051829,100
4563,9001,576.4482643123958,100
4565,4539,477.95966858695033,240
4565,4603,228.2139126775599,100
4573,4609,1072.2717633282648,0
4573,9050,778.1545125689499,0
4582,4518,394.2392434755304,40
4589,4605,277.05391365207385,900
4603,4630,277.42136682103694,100
4605,4616,263.5074430965818,980
4605,4671,634.3492420215382,700
4607,4556,574.6165725720911,0
4607,4639,359.40115264508245,40
4608,4565,519.8454195675481,80
4608,4624,195.8691275706348,100
4609,4530,685.1977874244945,20
4609,4645,818.1976087259886,580
4609,9011,448.5827868690292,0
4615,4563,839.6152204100852,100
4615,4579,389.8344122751198,100
4616,4630,361.0584941598685,700
4624,4603,501.3638275229202,140
4630,4650,481.4449162652865,320
4630,4680,527.4675649069753,760
4634,4554,628.0083796651329,240
4634,4664,591.4797984866985,780
4635,4536,774.3176803394447,20
4635,4664,686.7660217940124,1260
4639,4608,553.130790267761,40
4639,4655,243.09548095087067,20
4642,4634,493.7805105608798,440
4645,4607,490.49631972872487,60
4645,4666,284.99275113615573,700
4649,4639,274.0929544608755,0
4649,4674,334.96694768272545,0
4650,4624,283.3008417295929,220
4650,4690,502.6005955129843,300
4651,4562,1026.8804951693671,880
4651,4635,465.7495314291237,1660
4655,4624,535.1432439221253,40
4655,4690,366.3055986314589,80
4660,4589,720.1109516893538,660
4662,4651,192.3128747780512,2100
4663,4615,669.9025225726317,120
4663,4642,527.9478964494751,240
4664,4724,315.91598646326,540
4666,4649,211.4726346858361,0
4666,4713,351.3688712534487,700
4668,9011,326.3515322797726,0
4669,4718,389.6827992695562,0
4669,9008,452.0763929315051,0
4671,4660,627.0378451521501,1520
4671,4819,559.8161921437527,1980
4674,4655,265.8845384868481,60
4674,4742,409.9014275923896,0
4680,4671,414.0463643499582,1800
4680,4855,721.2527753813785,120
4689,4660,285.0648651317556,1940
4689,4662,480.5193711341456,1920
4690,4742,220.75642977547128,220
4694,4662,260.6576744845596,440
4694,4689,304.8323482526497,2200
4697,4651,330.6975235352718,1640
4697,4694,275.5135379236511,2240
4706,4697,410.204103200792,1800
4708,4650,505.3571172263657,480
4708,4680,392.7569641043453,640
4713,4674,203.5898806113499,0
4713,4794,461.7016592723072,840
4718,9002,1052.1397174741587,120
4718,9003,371.48273676029225,0
4718,9006,468.3900677971322,120
4724,4706,686.7227024990051,1280
4732,4634,659.357645884317,620
4732,4724,519.486415924749,1420
4742,4794,193.24476554785784,220
4745,4663,501.477675119816,280
4745,4732,572.645147065635,1140
4758,4745,589.7528185331706,860
4758,4832,290.8327739024115,520
4779,4758,523.2464643358023,160
4779,4852,340.4221226904592,160
4779,8364,445.40730332271687,140
4794,4899,458.7327062958352,140
4794,9173,459.1610623048838,1120
4802,4645,860.1179176351808,120
4802,8350,611.6372757788072,80
4806,4697,379.5278486678646,2440
4806,4808,350.83709160291755,2680
4808,4694,410.2633739780719,2120
4819,4689,840.0468482348944,1920
4819,4879,273.7709237230706,2480
4832,4918,365.3602156494312,200
4835,4706,504.1597750862202,660
4835,4806,475.5196208078,2060
4852,4832,547.1778020573736,200
4852,4942,366.2579664324931,280
4854,4835,403.2309133563738,1780
4854,4961,477.0313369921743,920
4855,4819,340.7530629095053,1700
4863,4724,580.109277408248,1040
4863,4854,373.2766833910729,1800
4879,4893,785.4141559521263,1160
4879,4938,281.4492660054522,1940
4881,4732,565.027031242925,920
4881,4863,426.9056795567118,920
4893,4808,397.3355283594154,3040
4893,4927,507.34164428571466,2460
4895,4802,415.69699401274096,60
4895,4972,1069.2245333530925,100
4899,4972,356.12614195726525,120
4904,4863,137.4189686289528,740
4907,4893,97.4272885457802,3680
4907,5010,535.3689557658973,640
4917,5005,476.26682769905455,0
4918,4917,522.291965304049,80
4918,5017,460.8628876980165,20
4920,4855,415.9994899623242,1780
4927,4806,563.5751962502583,3080
4927,4944,335.2083684613009,2900
4929,4779,2109.8414836400057,140
4929,4891,2061.692775628396,0
4930,4943,766.7259996538108,0
4930,9167,2096.7566391091163,0
4938,5012,313.4782610797865,1960
4942,4918,577.7593824373051,60
4942,5026,450.2653208719355,100
4943,4621,2132.697015056698,0
4944,4835,494.5610325587744,2380
4944,4961,358.4397569468431,820
4947,4929,297.0863911565654,0
4947,4986,789.4090028565535,0
4950,4907,190.15239458157728,3160
4950,4938,631.1324855442555,840
4961,4973,559.8588754783273,40
4972,5055,461.7055198476376,60
4973,4904,311.1435764349221,760
4986,4943,589.8350156891158,0
4986,8375,537.3188655738555,0
4991,4904,582.7236033179821,0
4991,5005,451.997837567813,0
5005,5017,526.3216607773336,0
5010,4927,402.9372546737161,4460
5012,8352,586.742296284917,3340
5012,9161,609.55630818861,360
5017,5026,527.763616605499,20
5020,5045,971.1914146486628,0
5020,8373,317.1084607660276,0
5021,4950,346.68958662791346,2700
5021,5012,473.4224385246785,1840
5026,5052,439.2446195052651,0
5029,4944,440.7951455626565,40
5029,5061,240.0011034984948,40
5052,5056,1405.7372848147993,0
5052,5281,4470.003855560273,0
5055,4920,1563.2814212555,340
5055,8346,729.0367476153065,160
5056,4929,681.0613729648068,0
5056,5066,331.76665043334515,0
5061,4961,814.1399746905389,320
5061,5132,729.0114596264162,280
5066,5076,543.1777589046621,0
5066,8379,483.4611750442864,0
5073,9016,3204.0954835006155,0
5076,8371,395.5193460198171,0
5076,8457,475.644450465166,0
5082,5021,449.951537232511,3120
5084,8347,477.7605974181907,0
5100,5120,434.9138049786493,260
5101,8448,966.7378356083776,0
5101,8456,372.8278115015026,0
5105,4895,1299.599558929452,20
5105,8348,677.7886519433721,240
5113,5189,300.59170993949164,0
5113,8449,470.2939854429336,0
5122,5100,420.4647518715806,2220
5122,5123,347.3192413132459,2040
5122,9174,473.7667662450325,1660
5123,5082,462.70717487504095,3380
5123,5126,465.4573811432639,1240
5125,8378,260.8583456739898,0
5126,9162,614.5504502753772,2220
5132,5126,270.7100088588546,300
5135,5124,1900.1498530721312,0
5135,5303,6653.2320707259305,0
5140,8377,276.52532120162624,0
5140,8450,467.8147522201165,0
5154,4628,3580.010801420733,0
5154,5135,598.5847922007674,0
5156,5369,5244.399319010338,0
5174,5084,1252.5136738709195,0
5174,5199,750.916854200689,0
5176,5184,444.8418428319135,0
5184,5174,388.4724573649517,0
5184,5199,662.9791354958567,0
5189,8451,709.8817367173914,0
5190,5193,95.21714335380987,1440
5190,8359,186.7591308976988,720
5193,5217,673.5155222847561,1520
5193,8359,212.88572628014532,200
5199,5210,209.91406055434817,0
5210,5300,3721.1297250240655,0
5236,5244,698.3168943630916,0
5244,5184,1568.884430752575,0
5247,5217,566.4026303145645,600
5247,8368,2189.5317256537264,540
5281,5351,2044.91474936635,0
5298,5244,1677.1726136126924,0
5298,9056,1601.5283832333266,0
5339,8368,731.0856542448589,0
5339,9015,7428.857261646108,0
5429,9032,542.4933514906851,460
5448,8441,5629.1985027197,0
8345,9155,368.4368569557983,540
8346,9159,640.4448079932631,160
8347,5105,884.104637961986,200
8347,9112,1694.7248479379568,200
8348,5055,758.6045046958495,240
8348,8346,1137.2392602169489,0
8349,9098,429.2507942048293,0
8350,4713,595.0894563632921,80
8350,4899,465.8700335383541,20
8351,9156,365.383272166294,0
8352,5082,422.6927824138495,280
8352,5122,362.5401770076929,3360
8353,4879,420.5669060313433,0
8354,4808,541.3650852752743,0
8355,4706,491.4978306897493,0
8356,9001,332.9879668199656,0
8357,4579,103.83198943562412,0
8358,4415,410.7861947049012,0
8359,5026,5741.615050404948,80
8359,9176,436.0644475131238,720
8360,9166,527.6551667428586,0
8361,5217,283.3867701290566,0
8362,4616,170.03674539390792,0
8363,4758,272.30434631909986,20
8363,8365,651.930625174462,0
8364,4615,657.6599022005961,140
8364,8363,602.3771141951474,0
8365,4832,462.1550305600301,80
8365,4917,377.1187828682359,60
8368,5429,1984.735491326875,480
8369,9079,3530.043801208618,0
8370,4881,286.4709091906016,0
8371,4986,375.0172593297288,0
8371,8458,298.9084679490721,0
8372,8373,378.8994930787965,0
8372,8375,321.34977652124564,0
8373,5101,311.629260834482,0
8374,5101,401.0188977914068,0
8374,8372,326.0882659618265,0
8375,5020,348.95278025491746,0
8376,5113,258.5669673371691,0
8376,8455,727.2619831006746,0
8377,8453,274.1492058318061,0
8378,8448,618.6046364782954,0
8378,8459,499.312071760378,0
8379,4947,189.74956820224716,0
8379,8371,658.580233393129,0
8441,8452,239.95613886356145,0
8442,8441,427.8304233153405,0
8442,8451,241.7274498195836,0
8443,5189,251.84384860841092,0
8443,8442,706.0506752970934,0
8444,8443,485.7061553038922,0
8444,8447,258.24136129343606,0
8445,8444,481.6585530049808,0
8445,8446,264.2598651962099,0
8446,5125,306.732759362806,0
8446,8447,487.17342813090863,0
8447,5189,478.0228529558533,0
8447,8449,303.5420243062109,0
8448,5045,577.7455522800391,0
8448,5154,2785.5916284341465,0
8449,5125,493.71438326457945,0
8449,8459,259.69423980139607,0
8450,5113,713.2597759273108,0
8450,8455,269.53127690586206,0
8451,8450,288.6184035120025,0
8451,8452,446.1629305819942,0
8452,5140,281.80229482286506,0
8453,5076,356.99330612145127,0
8454,8453,474.1879080884861,0
8454,8457,363.440217354689,0
8455,8377,472.2294891169363,0
8455,8454,268.9248313703033,0
8456,8376,260.098911764578,0
8456,8454,746.956650845121,0
8457,8374,377.8898039904165,0
8458,8372,391.7968019845814,0
8458,8457,337.4635744528266,0
8459,8376,469.4175942374661,0
8460,9140,177.9963602149616,0
8461,8460,1130.9935147643162,0
8461,9079,682.5726724075993,0
9001,4579,691.488631430716,80
9003,9004,452.0802737138085,0
9004,9005,322.4283123863855,0
9006,9004,385.606103761181,0
9006,9007,350.1732518445587,120
9007,4895,828.9895370956228,100
9007,9005,402.9917508215091,0
9008,9006,391.25959846894574,0
9008,9009,355.4905742159405,0
9009,4802,796.2275069247788,0
9009,9007,392.3295316607154,0
9010,9008,421.4356214668342,0
9010,9013,373.9463867562959,0
9011,9009,434.7514278579813,0
9011,9010,413.2619634169956,0
9012,9010,289.1353013220292,0
9013,4669,426.4716380391368,0
9015,4525,7539.253870364584,0
9015,9055,5563.346401538723,0
9016,9172,6052.26740862775,0
9017,9027,531.8149141613933,0
9017,9061,515.8432676997452,0
9018,9017,569.1853454815415,0
9018,9020,465.2188355850981,0
9019,9018,421.40230322471433,0
9019,9021,369.0223544733545,0
9020,9019,517.8015840986518,0
9020,9027,567.4274846599453,0
9020,9071,756.7568084754503,0
9021,9068,549.658940615559,120
9022,9021,627.8294738696211,40
9022,9030,505.79824608436473,80
9023,9022,540.3954718010425,0
9023,9033,498.795767480318,0
9024,9023,1702.376456255626,0
9024,9072,444.1432401159399,20
9026,9025,740.8439229107648,0
9026,9071,496.7992431896506,0
9027,9026,699.91884227057,0
9027,9060,469.1415126294763,0
9028,9019,323.3701163821946,0
9029,9021,396.5555094321047,160
9029,9028,416.352995515811,0
9030,9029,760.6898665087665,80
9031,9022,647.3763177200321,160
9031,9068,600.0456920041527,140
9032,9031,537.8919509355453,440
9032,9067,481.4513743921033,20
9033,9030,550.3901692495203,0
9034,9023,602.8855247147073,0
9034,9031,563.2547392905781,80
9035,9032,493.23626329359166,20
9035,9034,546.7648580362619,80
9036,5429,477.8574184076628,40
9036,9035,498.6005228653064,40
9037,9039,1597.443825211309,0
9038,9037,1224.675515300834,0
9038,9080,2226.5825858636163,0
9039,9014,1454.293704150698,0
9040,9043,511.8492111237565,0
9041,8461,1479.3452089663922,0
9041,9040,791.4692781552487,0
9041,9044,617.428079182701,0
9042,4415,732.9324061822667,0
9043,9042,619.4861371510315,0
9045,9042,563.6041387365393,0
9045,9079,1842.345937003716,0
9047,9046,1268.9390248779328,0
9047,9121,794.1231806601443,0
9048,9106,337.0068600222028,0
9048,9107,396.7989877635568,0
9049,9048,914.2778952803062,0
9049,9097,448.99074359798055,0
9050,9049,411.3784586493217,0
9051,9053,4193.516114260116,0
9051,9092,748.1160984764387,0
9052,8367,177.87463730165595,0
9052,9051,1652.2345117052475,260
9053,9148,1325.508430775967,0
9054,4440,623.0014094751141,0
9056,9057,1690.8274619967458,0
9057,9069,1740.1180882536091,0
9058,9026,505.9474760109657,0
9059,9058,436.0564501484671,0
9060,9058,676.3325555734457,0
9060,9141,470.0034691237244,0
9061,9060,551.4976498876836,0
9062,9113,595.5113823574214,0
9062,9115,458.7153744820844,0
9063,9062,562.2114187825515,0
9063,9116,607.1773128226965,0
9064,9066,1020.569505329531,0
9065,9064,639.5152525632999,0
9066,9057,6075.880382826384,0
9068,9018,394.63666766298513,0
9068,9067,683.401519007916,20
9070,9035,977.6874908149052,0
9072,9034,1710.4220499376552,100
9073,9072,2123.925654435787,0
9074,9015,4647.089236594239,0
9075,5073,1771.532956140949,0
9076,5073,2949.3396848990155,0
9077,9147,727.2491063849778,0
9078,9077,2095.3080190822216,0
9079,9078,2725.877272186862,0
9080,9014,2047.2992485643529,0
9081,9038,1185.9959437257694,0
9082,9081,2521.671146644683,0
9083,9024,682.602571847352,0
9084,9024,639.2871627104009,0
9085,9033,444.28147202889767,0
9086,9029,739.8711964849249,0
9087,9086,204.1352201526656,0
9088,9086,1839.318333402824,0
9089,9088,492.3923919808663,0
9090,9088,888.3079438432512,0
9091,9057,1859.2940529226628,0
9093,9041,122.00570370630858,0
9094,9080,82.04735310397348,0
9095,9080,91.41638659847222,0
9097,9002,362.6401636475841,0
9097,9108,595.0793479740364,0
9098,9002,625.753490073712,120
9099,9098,332.0051102035941,100
9100,9099,373.5528610711199,100
9101,9100,549.9317401870248,20
9101,9116,518.3258295478797,20
9102,9063,507.85855209294414,0
9102,9101,623.8397912126524,0
9103,9047,488.2991092029236,0
9103,9102,785.1224966709258,0
9104,9101,763.415798500661,0
9104,9103,632.610337918847,0
9105,9100,389.57211012123895,40
9106,9104,593.9379949165502,0
9106,9105,391.0819027586175,0
9107,9099,396.79878899553256,0
9107,9105,335.8098515215802,20
9108,9098,387.78655576122566,20
9108,9107,334.79281109941945,0
9109,9108,290.7794456371735,0
9110,9100,532.9402832205249,80
9110,9116,537.4613880849173,0
9111,9110,543.4508333844971,80
9112,9002,1298.7948410023105,60
9112,9111,1294.2317128333975,140
9113,9111,546.4248126603743,120
9113,9129,455.1214918549909,0
9114,9128,593.4295025763012,0
9114,9149,416.51957365956713,0
9115,9114,552.5864104281258,0
9115,9129,593.8531891213552,0
9116,9113,555.3197356486149,40
9117,9062,480.3224818680343,0
9118,9117,577.3492790779869,0
9119,9063,481.3437976234188,0
9119,9117,561.0539254990339,0
9120,9119,537.1756093471275,0
9121,9102,486.2019326413687,0
9121,9119,511.2049161349987,0
9122,9111,464.3663358084668,0
9123,9122,544.3559034804629,0
9124,9123,429.2263087085602,0
9125,9124,568.7004241807866,0
9126,9123,605.196689922626,0
9127,9122,494.3381621003095,0
9128,9123,541.8750334654815,0
9129,9122,545.2777915262895,0
9129,9128,554.5252309480238,0
9130,9114,486.5000705976585,0
9130,9131,546.1732465741594,0
9131,9115,484.86441644171856,0
9131,9117,458.8808006378512,0
9132,9130,581.5237107273232,0
9133,9131,571.62012228517,0
9134,9130,424.5290773139773,0
9135,9052,1020.8879403151424,0
9136,4415,970.63805720361,0
9137,9136,499.53589349716265,0
9138,9136,270.4090852867556,0
9139,8460,221.92618914990115,0
9139,9043,407.27537360980114,0
9140,9040,510.8141453745295,0
9141,9059,646.0796605215421,0
9142,9036,470.5276086660075,0
9142,9141,2673.8616006681,0
9143,5429,475.0971785851154,0
9144,9036,922.6278959556488,0
9145,9142,386.52838655485766,0
9146,9142,283.32807136975663,0
9147,9051,1279.558584235362,0
9148,9103,970.3479239305806,0
9149,9065,574.5625817988816,0
9150,4393,1074.085840248299,0
9151,9150,490.041001443147,0
9152,9151,347.9793989488026,0
9153,9151,198.39176368325548,0
9154,9150,351.5051138534916,0
9155,5190,721.941757985901,120
9155,9156,476.4479939851119,720
9156,5100,452.56002987800485,1900
9156,9158,531.9438340762861,340
9157,8345,271.9050796746211,460
9157,9158,457.74389837713215,160
9158,5120,367.9726131775466,260
9159,9157,302.8298110272856,160
9160,9158,298.2701214841076,80
9160,9159,474.8863150979072,40
9161,4920,222.46219763010131,240
9161,9160,1301.1919758183844,80
9162,5082,454.03374548259785,1400
9162,9163,318.9116550969963,3240
9163,5010,141.65263721538162,4040
9163,5021,467.3967679944859,2100
9164,4973,492.7580944153997,760
9165,9164,544.4783830573124,0
9166,5005,304.4489393032156,0
9166,9165,896.5820623963197,0
9167,5073,4159.906723921944,0
9168,4930,2439.450201763133,0
9169,9168,1565.2838751909435,0
9170,9169,2708.6003486875607,0
9171,9170,1656.3576350936248,0
9172,5339,7165.504763267518,0
9173,4708,593.1631789357102,220
9173,4920,730.1163977929637,1140
9174,5190,488.14263796091416,1180
9175,5123,483.8376194697746,1480
9175,9174,257.10801856152284,600
9176,5126,629.1683579879818,1280
9176,9175,224.92700605086367,760
9177,9163,901.4226448771284,1240
9177,9164,403.006713622304,1240
