route,route_flow
"[5217, 5193, 5190, 8359, 9176, 9175, 5123, 5082, 5021, 4950, 4907, 4893, 4879, 4819, 4855, 4920, 4855, 4819, 4689, 4694]",20
"[4664, 4724, 4863, 4904, 4973, 9164, 9177, 9163, 5021, 5082, 5123, 5122, 9174, 5190]",40
"[4938, 5012, 8352, 5122, 9174, 9175, 5123, 5082, 5021, 9163, 5010, 4927, 4944, 4835]",20
"[9155, 9156, 5100, 5122, 5123, 5126, 5132, 5061, 4961, 4944, 4835, 4806, 4927, 5010, 9163]",20
"[9155, 9156, 5100, 5122, 8352, 5012, 5021, 4950, 4907, 4893, 4879, 4819, 4671, 4680]",40
"[4927, 5010, 4907, 4893, 4808, 4694, 4808, 4893, 4879, 4819, 4671, 4680, 4630]",20
"[4893, 4927, 5010, 9163, 9162, 5082, 8352, 5122, 5100, 5122, 8352, 5012, 4938, 4879, 4819, 4671, 4660]",20
"[5012, 8352, 5122, 5123, 5082, 5021, 4950, 4907, 4893, 4808, 4694, 4697, 4651, 4697]",40
"[5082, 5123, 5126, 9162, 9163, 5021, 5012, 4938, 4879, 4819, 4671, 4680, 4671, 4660]",20
"[4938, 4879, 4819, 4671, 4605, 4521, 4493, 4471, 4423, 4393, 9052, 9051, 9052, 4393, 4423, 4471, 4493, 4521, 4605, 4521, 4493, 4562, 4651, 4635, 4664]",20
"[5055, 8348, 5105, 8347, 9112, 9111, 9110, 9100, 9099, 9098, 9002, 4718, 9006, 9007]",20
"[5012, 8352, 5122, 5100, 9156, 9155, 8345, 9157, 9158, 9156, 9155, 8345, 9157, 9159, 8346, 5055, 4972]",20
"[5122, 9174, 9175, 5123, 5126, 5132, 5061, 4961, 4973, 9164, 9177, 9163, 9162, 5082]",20
"[9164, 9177, 9163, 9162, 5126, 9162, 9163, 5010, 4927, 4944, 4835, 4854, 4863, 4724]",40
"[5012, 8352, 5122, 5100, 9156, 5100, 5122, 5123, 5082, 5021, 4950, 4907, 4893, 4808, 4694, 4697, 4694, 4808, 4893]",20
"[9029, 9021, 9068, 9031, 9032, 5429, 8368, 5247, 5217, 5193, 5190, 9174, 5122, 8352, 5012, 4938, 4879, 4819, 4671, 4660, 4689, 4662, 4651, 4635]",20
"[4603, 4624, 4650, 4708, 4680, 4671, 4819, 4879, 4938, 4950, 4907, 4893, 4927, 4806, 4808, 4893]",20
"[4893, 4907, 4950, 4938, 5012, 5021, 4950, 4907, 4893, 4808, 4694, 4697, 4651]",20
"[9155, 9156, 5100, 5122, 8352, 5012, 4938, 4950, 4907, 4893, 4879, 4819, 4855, 4920, 9173, 4794, 4713]",20
"[4689, 4694, 4808, 4893, 4927, 5010, 9163, 9162, 5126, 5132, 5061, 4961, 4854, 4863, 4724]",20
"[5012, 4938, 5012, 8352, 5122, 9174, 9175, 5123, 5082, 9162, 9163, 5010, 4927]",20
"[4927, 4893, 4907, 4950, 5021, 5082, 5123, 5122, 9174, 5190, 9155, 8345, 9157, 9159, 8346, 5055, 4920, 4855, 4819, 4879]",20
"[4927, 5010, 9163, 9177, 9164, 9177, 9163, 9162, 5126, 9162, 9163, 5010, 4927, 4944]",20
"[9164, 9177, 9163, 9162, 5082, 8352, 5012, 9161, 4920, 4855, 4819, 4689, 4662, 4651, 4635]",20
"[5122, 9174, 9175, 5123, 5126, 9162, 9163, 5010, 4907, 4893, 4879, 4819, 4671, 4605, 4521, 4539, 4616, 4630, 4680, 4671, 4819, 4879, 4938]",20
"[4907, 4950, 5021, 5082, 5123, 5082, 5021, 4950, 4907, 4893, 4907, 4950, 5021]",20
"[9161, 5012, 5021, 4950, 4938, 5012, 4938, 4950, 4907, 4893, 4927, 4944, 4835, 4806, 4808]",20
"[4518, 4496, 4539, 4565, 4608, 4624, 4650, 4708, 4680, 4671, 4819, 4879, 4938]",20
"[4605, 4616, 4630, 4616, 4605, 4589, 4660, 4689, 4662, 4651, 4635, 4664, 4634, 4732]",20
"[4697, 4806, 4835, 4944, 4927, 5010, 9163, 9162, 5126, 9176, 9175, 5123, 5122, 5100, 9156, 5100, 5122, 5123, 5082, 9162, 9163, 5010, 4927, 4944, 4835, 4706]",20
"[4794, 9173, 4920, 5055, 8346, 9159, 9157, 8345, 9155, 9156, 5100, 5122, 8352, 5012, 5021, 9163, 5010, 4927, 4893, 4808, 4694]",20
"[4938, 4879, 4819, 4671, 4819, 4879, 4938, 5012, 8352, 5122, 9174, 5190, 5193, 5217, 5193, 5190, 9174, 5122]",20
"[4835, 4806, 4808, 4893, 4927, 5010, 9163, 9177, 9164, 9177, 9163, 9162, 5082, 5123, 5082, 5021, 4950, 4907, 4893, 4808, 4694, 4689]",20
"[9163, 9162, 5082, 5123, 5122, 5100, 5120, 9158, 9156, 5100, 5122, 9174, 9175]",20
"[9156, 5100, 5122, 8352, 5012, 9161, 4920, 5055, 8346, 9159, 9157, 8345, 9155]",20
"[5247, 8368, 5429, 9032, 9031, 9022, 9030, 9029, 9021, 9068, 9031, 9032, 5429, 8368, 5247, 5217, 5193, 5190, 8359, 9176]",60
"[4927, 5010, 9163, 9162, 5126, 9176, 9175, 5123, 5082, 9162, 9163, 5010, 4927, 4944, 4835]",80
"[5123, 5082, 5021, 4950, 4907, 4893, 4808, 4806, 4808, 4893, 4927, 4806, 4697, 4651, 4697, 4806, 4808]",20
"[9163, 9162, 5126, 5132, 5061, 4961, 4944, 4835, 4706, 4724, 4732, 4745, 4758]",20
"[4671, 4660, 4689, 4694, 4697, 4706, 4724, 4732, 4745, 4758, 4832, 4852, 4942]",40
"[4651, 4662, 4694, 4808, 4893, 4907, 5010, 4927, 4944, 4835, 4854, 4863, 4881, 4732, 4745, 4758, 4832]",20
"[4907, 4950, 5021, 5012, 8352, 5122, 5123, 5082, 5021, 9163, 5010, 4927, 4944, 4835]",20
"[5012, 8352, 5122, 5123, 5082, 9162, 9163, 5010, 4927, 4944, 4835, 4806, 4927, 5010, 9163, 5010, 4927]",20
"[5021, 5012, 8352, 5122, 5100, 5122, 5123, 5082, 9162, 9163, 9177, 9164, 4973, 4904, 4863, 4854, 4961, 4944, 4927, 4893, 4907, 4950, 5021, 5082, 5123]",20
"[4697, 4806, 4808, 4893, 4907, 4950, 5021, 5082, 5021, 4950, 4907, 4893, 4927]",20
"[9032, 9031, 9022, 9031, 9032, 5429, 8368, 5247, 5217, 5193, 5190, 9174, 5122, 5123]",20
"[4808, 4694, 4662, 4651, 4562, 4493, 4471, 4423, 4393, 9052, 9051, 9052, 4393, 4423, 4471, 4440, 4497]",20
"[4603, 4624, 4650, 4708, 4680, 4671, 4819, 4689, 4694, 4697, 4806, 4808, 4893, 4907, 4950, 5021, 5082, 5123, 5122, 9174, 5190, 9155, 8345, 9157, 9158, 9156, 5100, 5122, 8352, 5012, 5021, 5012, 9161, 9160]",20
"[4651, 4662, 4689, 4660, 4589, 4605, 4616, 4630, 4603, 4565, 4608, 4624, 4603]",20
"[4630, 4680, 4671, 4819, 4879, 4938, 5012, 8352, 5122, 9174, 5190, 5193, 5217]",180
"[4938, 4950, 4907, 4893, 4808, 4806, 4697, 4806, 4808, 4806, 4927, 4893, 4808, 4806]",20
"[5012, 8352, 5122, 9174, 9175, 5123, 5122, 8352, 5012, 4938, 4879, 4819, 4671]",60
"[4518, 4565, 4539, 4616, 4605, 4671, 4660, 4589, 4562, 4651, 4662, 4689, 4662, 4651, 4562]",20
"[4655, 4624, 4650, 4630, 4680, 4671, 4660, 4689, 4662, 4651, 4635, 4651, 4697, 4806, 4808]",20
"[5012, 8352, 5122, 9174, 5190, 5193, 5217, 5193, 5190, 8359, 9176, 5126, 5132, 5061, 4961, 4854, 4863, 4724]",20
"[4605, 4671, 4660, 4689, 4662, 4651, 4662, 4689, 4819, 4855, 4920, 9173, 4794, 4742, 4690, 4650]",20
"[4806, 4927, 5010, 9163, 5021, 5012, 4938, 4879, 4819, 4855, 4920, 4855, 4819, 4689, 4662, 4651]",20
"[9031, 9032, 5429, 8368, 5247, 5217, 5193, 5190, 9174, 5122, 8352, 5012, 5021, 9163, 9177, 9164]",20
"[4616, 4605, 4589, 4660, 4689, 4694, 4697, 4706, 4724, 4732, 4881, 4863, 4854]",20
"[4920, 4855, 4680, 4630, 4616, 4605, 4589, 4660, 4689, 4694, 4697, 4706, 4724, 4732]",20
"[4630, 4616, 4630, 4680, 4671, 4660, 4689, 4662, 4651, 4697, 4806, 4927, 5010, 9163, 9162, 5126, 5123, 5122, 8352, 5012, 4938, 4879, 4893, 4808, 4694, 4689, 4662]",20
"[4893, 4927, 5010, 9163, 9162, 5126, 5123, 5082, 5021, 4950, 4907, 4893, 4927, 4806]",20
"[4863, 4854, 4835, 4806, 4808, 4893, 4879, 4938, 4950, 4907, 4893, 4808, 4806, 4697, 4706, 4835, 4944, 4835]",20
"[4689, 4819, 4879, 4938, 5012, 8352, 5122, 5100, 5122, 8352, 5012, 5021, 9163, 5021]",20
"[4650, 4708, 4680, 4671, 4819, 4689, 4694, 4697, 4706, 4835, 4944, 4961, 4854, 4835, 4806, 4697, 4694, 4808, 4806, 4927, 4944, 4835, 4706, 4697, 4651, 4562, 4493, 4471, 4423, 4471, 4493, 4562, 4651, 4697, 4706]",20
"[4835, 4944, 4927, 5010, 9163, 9162, 5082, 5123, 5126, 5132, 5061, 4961, 4854]",20
"[5247, 8368, 5429, 9032, 9035, 9034, 9072, 9034, 9031, 9032, 5429, 8368, 5247]",20
"[4518, 4565, 4539, 4616, 4605, 4671, 4819, 4879, 4938, 5012, 8352, 5122, 5123, 5082]",20
"[4854, 4835, 4806, 4808, 4694, 4689, 4660, 4671, 4680, 4671, 4660, 4689, 4694, 4808]",20
"[4562, 4589, 4605, 4616, 4630, 4650, 4690, 4742, 4794, 4899, 4972, 4895, 4802, 4645]",20
"[4944, 4835, 4806, 4927, 5010, 9163, 9162, 5126, 9176, 9175, 5123, 5082, 5021, 9163, 5010, 4927, 4944, 4835]",20
"[4927, 5010, 9163, 5021, 5012, 8352, 5122, 5100, 9156, 5100, 5122, 8352, 5012, 4938]",20
"[9164, 9177, 9163, 9162, 5082, 8352, 5122, 9174, 9175, 5123, 5126, 9176, 8359, 5190, 5193, 5217, 5193, 5190]",20
"[4835, 4854, 4961, 4944, 4835, 4806, 4927, 4944, 4835, 4706, 4724, 4732, 4634, 4664, 4635, 4651]",20
"[4660, 4589, 4562, 4651, 4697, 4806, 4927, 5010, 9163, 9162, 5126, 9176, 9175, 5123, 5082, 5021, 4950, 4907, 4893, 4808, 4694]",20
"[9175, 9174, 5190, 5193, 5217, 5193, 5190, 8359, 9176, 5126, 9162, 9163, 9177, 9164]",20
"[5217, 5193, 5190, 9174, 5122, 5123, 5082, 5021, 4950, 4907, 4893, 4879, 4819, 4671]",20
"[9175, 9174, 5190, 5193, 5217, 5193, 5190, 8359, 9176, 5126, 9162, 9163, 9177, 9164, 4973, 4904, 4863, 4881, 4732, 4634, 4642, 4663, 4642]",20
"[4927, 4893, 4879, 4819, 4855, 4920, 5055, 8348, 5105, 8347, 9112, 9002, 4718, 9006, 9007, 4895]",20
"[4893, 4879, 4819, 4855, 4920, 5055, 8348, 5105, 8347, 9112, 9002, 9098, 9108]",20
"[9164, 9177, 9163, 9162, 5082, 5123, 5126, 9162, 9163, 9177, 9164, 4973, 4904, 4863, 4854]",20
"[4893, 4927, 4806, 4808, 4694, 4689, 4660, 4671, 4680, 4671, 4819, 4879, 4938]",20
"[4697, 4706, 4724, 4732, 4881, 4863, 4854, 4835, 4806, 4808, 4893, 4927, 5010, 9163]",20
"[4835, 4806, 4808, 4893, 4808, 4694, 4662, 4651, 4562, 4493, 4471, 4423, 4393, 9052, 9051, 9052, 4393, 4423, 4471, 4493]",20
"[4635, 4651, 4662, 4689, 4819, 4879, 4938, 5012, 8352, 5122, 5100, 9156, 5100, 5122]",20
"[5126, 5123, 5122, 5100, 9156, 5100, 5122, 8352, 5012, 5021, 4950, 4907, 4893]",20
"[4732, 4881, 4863, 4854, 4835, 4944, 4927, 4806, 4808, 4893, 4907, 4950, 5021, 5082, 5021, 4950, 4907, 4893, 4808, 4694, 4697, 4651]",20
"[4893, 4927, 5010, 9163, 9162, 5126, 9176, 9175, 5123, 5122, 5100, 9156, 9155, 5190, 9174, 5122, 5123, 5082, 5021]",20
"[4863, 4854, 4835, 4806, 4808, 4893, 4907, 4950, 5021, 5082, 9162, 9163, 5010, 4927, 4944, 4927, 4893, 4879]",20
"[4863, 4854, 4835, 4806, 4808, 4893, 4927, 5010, 9163, 9162, 5126, 5123, 5122, 5100, 9156]",20
"[4689, 4694, 4808, 4893, 4907, 5010, 4927, 4944, 4835, 4706, 4724, 4732, 4634, 4642]",20
"[4724, 4863, 4904, 4973, 9164, 9177, 9163, 9162, 5082, 8352, 5122, 5100, 9156]",20
"[4724, 4863, 4854, 4835, 4944, 4927, 5010, 9163, 5021, 9163, 5010, 4927, 4806, 4697, 4651, 4562, 4493, 4471, 4423, 4393, 9052, 9051]",20
"[4664, 4635, 4651, 4662, 4689, 4819, 4879, 4938, 4950, 4907, 4893, 4808, 4694]",60
"[4694, 4808, 4893, 4907, 4950, 4938, 5012, 8352, 5122, 9174, 9175, 5123, 5082, 5021, 9163, 5010, 4927, 4944]",20
"[4944, 4961, 4854, 4863, 4724, 4732, 4745, 4758, 4832, 4852, 4779, 8364, 4615]",20
"[4639, 4607, 4645, 4666, 4713, 4794, 9173, 4920, 4855, 4819, 4689, 4662, 4651, 4635, 4664, 4634, 4642, 4663]",20
"[8365, 4832, 4758, 4745, 4732, 4724, 4706, 4697, 4806, 4808, 4893, 4927, 5010, 9163]",20
"[9158, 9156, 5100, 5122, 8352, 5012, 4938, 4879, 4819, 4689, 4662, 4651, 4635, 4664, 4635, 4651, 4697, 4806, 4927, 4944]",20
"[4697, 4806, 4927, 5010, 9163, 9162, 5082, 5123, 5126, 9162, 9163, 9177, 9164, 4973, 4904, 4863]",20
"[5012, 8352, 5122, 5100, 5122, 8352, 5012, 5021, 4950, 4907, 4893, 4808, 4694, 4697, 4651, 4562]",20
"[4927, 4944, 4835, 4806, 4927, 4944, 4961, 4854, 4863, 4881, 4732, 4634, 4664]",20
"[4863, 4854, 4835, 4706, 4697, 4806, 4927, 5010, 9163, 5021, 5012, 8352, 5122]",20
"[5012, 8352, 5122, 5123, 9175, 5123, 5082, 5021, 5012, 4938, 4950, 4907, 4893, 4927, 4944, 4835, 4854, 4863, 4724, 4732]",20
"[4835, 4944, 4927, 4806, 4835, 4854, 4835, 4944, 4927, 4893, 4808, 4694, 4689, 4660, 4589, 4605, 4616]",20
"[4893, 4927, 4806, 4835, 4854, 4863, 4881, 4732, 4634, 4664, 4635, 4651, 4697]",20
"[4927, 5010, 9163, 9162, 5126, 9176, 8359, 5193, 5217, 5193, 5190, 8359, 9176]",100
"[9176, 8359, 5190, 9174, 5122, 8352, 5012, 8352, 5122, 9174, 5190, 8359, 9176, 5126, 5132, 5061, 4961]",20
"[4927, 5010, 9163, 9162, 5126, 9176, 9175, 5123, 5122, 5100, 9156, 5100, 5122, 8352, 5012, 5021, 9163, 5010, 4927]",20
"[5247, 5217, 5193, 5190, 8359, 9176, 5126, 5132, 5061, 4961, 4973, 4904, 4863, 4881, 4732]",20
"[9156, 5100, 5122, 8352, 5012, 5021, 4950, 4907, 4893, 4927, 4806, 4697, 4651]",80
"[5012, 8352, 5122, 5100, 5120, 9158, 9156, 5100, 5122, 8352, 5012, 5021, 4950, 4907, 4893, 4808, 4806, 4697, 4651, 4635]",20
"[4927, 4893, 4808, 4806, 4927, 5010, 9163, 5021, 5082, 5123, 9175, 9174, 5190, 5193, 5217, 5247]",20
"[9163, 9162, 5126, 9176, 8359, 5193, 5217, 5193, 5190, 8359, 9176, 5126, 9162, 9163, 9162, 5126, 9176, 8359, 5193, 5217]",20
"[4724, 4863, 4904, 4973, 9164, 9177, 9163, 9162, 5126, 5123, 5082, 5021, 4950, 4907, 4893, 4808, 4694]",20
"[9175, 9176, 5126, 9162, 9163, 5010, 4927, 4944, 4835, 4944, 4927, 5010, 9163, 9162, 5126]",20
"[5247, 8368, 5429, 9032, 9031, 9032, 5429, 8368, 5247, 5217, 5193, 5190, 9174, 5122, 8352, 5012, 9161]",40
"[4630, 4603, 4624, 4608, 4639, 4607, 4645, 4666, 4713, 4794, 9173, 4920, 4855, 4819, 4689, 4662, 4651, 4635, 4664]",20
"[4938, 4950, 4907, 4893, 4927, 4806, 4808, 4893, 4907, 4950, 5021, 5012, 8352, 5122, 9174, 5190, 5193, 5217]",20
"[4697, 4806, 4808, 4893, 4927, 4944, 4961, 4854, 4863, 4724, 4732, 4745, 4663, 4642]",20
"[9157, 8345, 9155, 9156, 5100, 5122, 9174, 9175, 5123, 5082, 5021, 4950, 4907, 4893, 4927, 4944, 4835]",20
"[4609, 4645, 4666, 4713, 4794, 9173, 4920, 4855, 4819, 4689, 4694, 4697, 4706]",420
"[4808, 4893, 4907, 4950, 5021, 5082, 5123, 5082, 5021, 4950, 4907, 4893, 4927, 4806, 4835]",20
"[4893, 4907, 5010, 4927, 4806, 4808, 4893, 4879, 4819, 4671, 4680, 4708, 4650, 4624, 4603, 4630, 4680, 4671, 4819, 4879, 4938, 5012, 9161, 9160]",20
"[4863, 4904, 4973, 9164, 9177, 9163, 9162, 5082, 5123, 5122, 9174, 9175, 5123, 5082, 5021]",40
"[4835, 4854, 4863, 4854, 4835, 4806, 4808, 4694, 4689, 4660, 4671, 4819, 4689, 4662, 4651, 4635]",20
"[4697, 4651, 4662, 4689, 4819, 4855, 4920, 9173, 4794, 4713, 4666, 4645, 4609, 4645]",20
"[4689, 4662, 4651, 4662, 4694, 4808, 4893, 4907, 4950, 4938, 4879, 4819, 4855, 4920]",20
"[4794, 9173, 4920, 4855, 4819, 4689, 4694, 4697, 4806, 4808, 4893, 4907, 4950, 5021, 5082, 5123, 5126, 9176]",20
"[9163, 9162, 5082, 5123, 5122, 9174, 5190, 8359, 9176, 5126, 9162, 9163, 5010, 4927, 4944, 4961, 4854]",20
"[5012, 8352, 5122, 5100, 9156, 9158, 9157, 8345, 9155, 9156, 5100, 5122, 8352, 5012, 5021, 5082, 5123, 9175]",20
"[9161, 4920, 4855, 4819, 4671, 4680, 4671, 4819, 4879, 4938, 5012, 8352, 5122, 5100, 9156]",20
"[4697, 4806, 4835, 4854, 4863, 4881, 4732, 4881, 4863, 4854, 4961, 4944, 4835, 4806, 4808, 4694, 4689]",20
"[4697, 4806, 4927, 4944, 4835, 4854, 4863, 4881, 4732, 4745, 4758, 4832, 4852, 4942]",20
"[4794, 9173, 4920, 4855, 4819, 4689, 4662, 4651, 4635, 4664, 4724, 4863, 4854, 4863, 4724, 4732, 4634, 4642, 4663]",20
"[4697, 4806, 4927, 4893, 4907, 5010, 4927, 4806, 4927, 5010, 4907, 4893, 4879, 4819, 4855, 4920, 9173, 4794]",20
"[4724, 4706, 4697, 4806, 4927, 5010, 9163, 9162, 5126, 9176, 9175, 5123, 5082, 5021]",20
"[4907, 4950, 5021, 5082, 5123, 9175, 9176, 5126, 9162, 5082, 5021, 9163, 5010, 4927, 4806]",20
"[4893, 4907, 4950, 5021, 5082, 5123, 5126, 9162, 9163, 5010, 4927, 4944, 4835, 4854, 4863, 4724]",40
"[5126, 5123, 5122, 8352, 5012, 4938, 4879, 4819, 4671, 4680, 4671, 4819, 4855, 4920, 4855, 4819, 4689, 4694]",20
"[4634, 4664, 4635, 4651, 4662, 4694, 4689, 4660, 4589, 4605, 4521, 4493, 4471, 4423]",20
"[4706, 4697, 4806, 4927, 4944, 4835, 4706, 4724, 4732, 4745, 4758, 4779, 4929]",40
"[4664, 4724, 4863, 4904, 4973, 9164, 9177, 9163, 9162, 5126, 5123, 5122, 8352, 5012, 4938, 4879, 4819, 4671, 4680]",20
"[4724, 4863, 4854, 4835, 4806, 4808, 4694, 4697, 4651, 4635, 4664, 4634, 4642]",20
"[4526, 9001, 4526, 4554, 4563, 4615, 8364, 4779, 4852, 4942, 4852, 4779, 8364, 4615, 4563, 4554]",20
"[4562, 4589, 4605, 4616, 4630, 4680, 4671, 4660, 4689, 4662, 4651, 4635, 4664]",120
"[4879, 4938, 5012, 8352, 5122, 5123, 5082, 5021, 4950, 4907, 4893, 4907, 4950, 4938, 5012]",20
"[4493, 4471, 4496, 4539, 4616, 4605, 4671, 4819, 4879, 4938, 5012, 8352, 5122, 9174, 5190, 8359, 9176]",20
"[4944, 4927, 5010, 9163, 9162, 5082, 5021, 4950, 4907, 4893, 4927, 4806, 4697]",20
